"seller_id","product_id","provide_id"
102,"LYkor2DMIj",1
126,"E3dsmnSPob",2
116,"1wIAOSQWq3",3
127,"uijTrAcIS2",4
146,"TrRF46JWfP",5
105,"GNZuCtwed3",6
105,"Lwe2aP4Wxh",7
128,"vtkfe4QWwi",8
134,"2IVbGQMw74",9
108,"w4NX6nj3Tv",10
127,"TbUBpfn6iP",11
118,"yjMQ90i6Rd",12
118,"OxeKC7zNYj",13
138,"dqrONtdjbt",14
144,"e8LjuhEdHx",15
142,"ov9kyyLOw6",16
126,"QyoDU0GSjz",17
139,"1Gg23OUdi4",18
148,"m9rCBAZjsh",19
113,"LqLKTtrOmx",20
104,"0buhGqKZQ3",21
124,"zUUAkSVCEa",22
108,"jXk3iIHp52",23
143,"iO6vHa6qJm",24
146,"bvEGjkvSrJ",25
139,"WJHmhA3kcA",26
130,"oemYWm1Tjg",27
144,"uISKeFTl5s",28
137,"vDe7GN0NrL",29
134,"zIOo4MR9ay",30
139,"lm8VbVNQ0u",31
114,"v8EUTQ2diL",32
107,"1WsN28J98D",33
126,"4VobQYmAyT",34
132,"SxiO7ErRUg",35
120,"KwxtUmngaK",36
120,"CAgNlUizNm",37
119,"r2ykGfLwK1",38
120,"YFmepeTUNR",39
104,"Cv3PSPfkuo",40
113,"eLGzdD8Tvb",41
113,"Wmh41R9ihs",42
148,"IBsVsBliwX",43
127,"gbEGjSAk6r",44
137,"9PF5pWfPqj",45
123,"HtRmsP3KiK",46
148,"fJPzrxomGl",47
147,"QVf8LP5vps",48
154,"YgefTyOqkX",49
107,"fqMOZ5Cakr",50
127,"vLXXiP9Lc3",51
113,"98vV9LeJL9",52
120,"zMknhTUJhp",53
127,"QYeyEEnp7x",54
140,"E8yKVg673v",55
105,"lWpWVQM7IH",56
119,"8RcC8mdHBG",57
118,"phL7Ovnlxz",58
121,"IZu8PDQ8Sw",59
124,"GAJVvVF2Pq",60
113,"b1KH72MKAc",61
132,"Nn3cMauCMf",62
140,"cYKSVBW4HD",63
124,"iT7mRQ19Ql",64
109,"l9qwaVB0s8",65
152,"MR7cIEMtzj",66
153,"zXQx941bhn",67
139,"0450K7a20A",68
142,"6KpHap4hhS",69
128,"f5USNzAo4O",70
140,"x6lwoJexxL",71
115,"rZ0ulN53op",72
140,"36NAIBFBTl",73
107,"8BqiGU5Lyc",74
114,"QiOKkCi7F8",75
116,"89zOBTXKzW",76
110,"U3mPyHq5sT",77
102,"L8NdOggYQS",78
112,"plGBD33942",79
142,"Z42dvbYWzV",80
140,"sS0jiBeXKd",81
137,"rMJpSJ64gf",82
116,"huqmOZ4sxV",83
105,"5BdsaGsBU0",84
111,"wk3yD2GiFE",85
122,"uIvCnD1rgw",86
103,"qDX8KcFdUw",87
152,"GDWGBWY8Fi",88
112,"lvTbU6FUNv",89
105,"To1zdQ1kCz",90
112,"B3wLWcEVoL",91
103,"RYvEDQKrAU",92
105,"zAXNfGTAMi",93
122,"LXbGCNTp7f",94
142,"LOMxNXvuFi",95
116,"UtY7RBQDxR",96
138,"AT0RGwiATg",97
118,"eBxtwiMm0w",98
102,"Kyz2toiHVQ",99
140,"xRMA3eZzb4",100
